"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory","inSet"
"1",15,3000,2,0,2,2000,2,75,25,0,1
"2",15,3000,2,1,1,2000,2,75,25,1,1
"3",15,3000,2,2,2,2000,2,75,25,4,0
"4",15,3000,2,3,2,2000,2,75,25,1,1
"5",20,3000,2,0,2,2000,2,75,25,0,1
"6",20,3000,2,1,1,2000,2,75,25,1,1
"7",20,3000,2,2,2,2000,2,75,25,1,1
"8",20,3000,2,3,3,2000,2,75,25,1,1
"9",25,3000,2,0,4,2000,2,75,25,0,1
"10",25,3000,2,1,4,2000,2,75,25,2,1
"11",25,3000,2,2,3,2000,2,75,25,2,1
"12",25,3000,2,3,4,2000,2,75,25,2,1
"13",30,3000,2,0,2,2000,2,75,25,0,1
"14",30,3000,2,1,4,2000,2,75,25,2,0
"15",30,3000,2,2,3,2000,2,75,25,2,1
"16",30,3000,2,3,4,2000,2,75,25,2,1
"17",20,3000,2,0,0,2000,-0.5,75,0,1,1
"18",20,3000,2,1,0,2000,-0.5,75,0,0,0
"19",20,3000,2,2,0,2000,-0.5,75,0,0,0
"20",20,3000,2,3,0,2000,-0.5,75,0,0,0
"21",20,3000,2,0,0,2000,-0.5,75,10,1,1
"22",20,3000,2,1,0,2000,-0.5,75,10,0,0
"23",20,3000,2,2,0,2000,-0.5,75,10,0,0
"24",20,3000,2,3,0,2000,-0.5,75,10,0,0
"25",20,3000,2,0,0,2000,-0.5,75,25,1,1
"26",20,3000,2,1,0,2000,-0.5,75,25,0,0
"27",20,3000,2,2,0,2000,-0.5,75,25,0,0
"28",20,3000,2,3,0,2000,-0.5,75,25,0,0
"29",20,3000,2,0,0,2000,-0.5,75,50,1,1
"30",20,3000,2,1,0,2000,-0.5,75,50,0,0
"31",20,3000,2,2,0,2000,-0.5,75,50,0,0
"32",20,3000,2,3,0,2000,-0.5,75,50,0,0
"33",20,3000,2,0,0,2000,-0.5,75,75,1,1
"34",20,3000,2,1,0,2000,-0.5,75,75,0,0
